"","state_name","gop","dem","vote","diff","per_gop","per_dem","per_diff","State FIPS","hesis"
"1","Alabama",1441168,849648,2323304,591520,0.620309696879961,0.365706769325065,0.254602927554896,1,21
"2","Alaska",189892,153405,391346,36487,0.4852279057407,0.391993274493671,0.0932346312470295,2,20
"3","Arizona",1661686,1672143,3387326,-10457,0.490559810304647,0.493646906143666,-0.00308709583901873,4,17
"4","Arkansas",760647,423932,1219069,336715,0.623957298561443,0.34775061953015,0.276206679031294,5,21
"5","California",6005961,11109764,17495906,-5103803,0.34327807888314,0.634992209034502,-0.291714130151362,6,11
"6","Colorado",1364607,1804352,3256953,-439745,0.418982711755435,0.554000011667347,-0.135017299911912,8,15
"7","Connecticut",715291,1080680,1824280,-365389,0.392094963492446,0.59238713355406,-0.200292170061613,9,10
"8","Delaware",200603,296268,504010,-95665,0.398013928295074,0.587821670204956,-0.189807741909883,10,13
"9","Florida",5668731,5297045,11067456,371686,0.51219819622504,0.478614507254422,0.033583688970618,12,20
"10","Georgia",2461854,2473633,4997716,-11779,0.492595817769557,0.494952694390798,-0.00235687662124057,13,22
"11","Hawaii",196864,366130,574469,-169266,0.342688639421797,0.63733639239019,-0.294647752968393,15,10
"12","Idaho",554118,287021,868105,267097,0.638307578000357,0.330629359351691,0.307678218648666,16,25
"13","Illinois",2446891,3471915,6038850,-1025024,0.405191551371536,0.574929829354927,-0.169738277983391,17,15
"14","Indiana",1729852,1242495,3033198,487357,0.570306323556853,0.409632012153509,0.160674311403344,18,18
"15","Iowa",897672,759061,1690871,138611,0.530893249692023,0.448917155714422,0.0819760939776009,19,20
"16","Kansas",758100,558669,1349567,199431,0.561735727088763,0.413961663259401,0.147774063829362,20,19
"17","Kentucky",1326646,772474,2136768,554172,0.620865718692904,0.36151514811154,0.259350570581364,21,19
"18","Louisiana",1255776,856034,2148062,399742,0.584608824140085,0.398514568015262,0.186094256124823,22,23
"19","Maine",359899,430473,813740,-70574,0.442277631675965,0.529005579177624,-0.086727947501659,23,12
"20","Maryland",976414,1985023,3037030,-1008609,0.321502915677488,0.653606648600771,-0.332103732923284,24,12
"21","Massachusetts",1167202,2382202,3631402,-1215000,0.321419110305056,0.656000630059685,-0.334581519754629,25,7
"22","Michigan",2649852,2804040,5539302,-154188,0.478372906911376,0.506208182908244,-0.0278352759968675,26,19
"23","Minnesota",1484065,1717077,3277171,-233012,0.452849424091694,0.5239509930974,-0.0711015690057064,27,11
"24","Mississippi",756764,539398,1315178,217366,0.575408043626034,0.410133077043564,0.16527496658247,28,27
"25","Missouri",1718736,1253014,3025962,465722,0.567996557788895,0.414087817361884,0.153908740427011,29,15
"26","Montana",343602,244786,605750,98816,0.567234007428807,0.404104003301692,0.163130004127115,30,24
"27","Nebraska",556846,374583,956379,182263,0.582244068512588,0.391667947539626,0.190576120972962,31,17
"28","Nevada",669890,703486,1405376,-33596,0.476662473245594,0.50056781957284,-0.0239053463272462,32,19
"29","New Hampshire",365654,424921,804430,-59267,0.45455042701043,0.528226197431722,-0.0736757704212921,33,14
"30","New Jersey",1883274,2608335,4564234,-725061,0.412615567037098,0.571472672084735,-0.158857105047638,34,12
"31","New Mexico",401894,501614,923965,-99720,0.434966692461295,0.542892858495722,-0.107926166034428,35,15
"32","New York",3250230,5244006,8616205,-1993776,0.377222918906874,0.608621312979438,-0.231398394072564,36,13
"33","North Carolina",2758773,2684292,5524801,74481,0.499343415265093,0.485862205715645,0.013481209549448,37,18
"34","North Dakota",235595,114902,361819,120693,0.651140487370757,0.317567623590801,0.333572863779956,38,29
"35","Ohio",3154834,2679165,5922202,475669,0.532713001008746,0.45239338340705,0.0803196176016961,39,21
"36","Oklahoma",1020280,503890,1560699,516390,0.65373271848063,0.322861743359866,0.330870975120763,40,21
"37","Oregon",958448,1340383,2374321,-381935,0.403672460463434,0.564533186540489,-0.160860726077055,41,15
"38","Pennsylvania",3378263,3459923,6925255,-81660,0.487817849306632,0.499609472864176,-0.0117916235575441,42,15
"39","Rhode Island",199837,306210,516383,-106373,0.386993762381798,0.592990086815406,-0.205996324433608,44,13
"40","South Carolina",1385103,1091541,2513329,293562,0.551102939567402,0.434300881420618,0.116802058146785,45,18
"41","South Dakota",261043,150471,422609,110572,0.617693896722502,0.356052521361353,0.26164137536115,46,22
"42","Tennessee",1852475,1143711,3053851,708764,0.606602941662838,0.374514342710237,0.232088598952601,47,24
"43","Texas",5890347,5259126,11317911,631221,0.520444718110966,0.464672853497434,0.0557718646135316,48,17
"44","Utah",865140,560282,1488289,304858,0.581298390299196,0.376460485833061,0.204837904466135,49,14
"45","Vermont",112704,242820,367428,-130116,0.306737646559326,0.66086416930664,-0.354126522747314,50,7
"46","Virginia",1962430,2413568,4460524,-451138,0.439955036672821,0.541095171778024,-0.101140135105203,51,15
"47","Washington",1584651,2369612,4087631,-784961,0.387669777433433,0.579703011353031,-0.192033233919598,53,12
"48","West Virginia",545382,235984,794652,309398,0.686315519246161,0.296965212445196,0.389350306800964,54,20
"49","Wisconsin",1610065,1630673,3297352,-20608,0.488290300823206,0.49454016435006,-0.0062498635268543,55,16
"50","Wyoming",193559,73491,276765,120068,0.699362274854118,0.265535743320145,0.433826531533973,56,31
